id,Latitude,Longitude
0,219639,143522
1,219639,143522
2,219639,143522
3,219639,143522
4,219639,143522
5,219639,143522
6,219639,143522
7,219639,143522
8,219639,143522
9,219639,143522
10,219639,143522
11,219639,143522
12,219639,143522
13,219639,143522
14,219639,143522
15,219639,143522
16,219639,143522
17,219639,143522
18,219639,143522
19,219639,143522
20,219639,143522
21,219639,143522
22,219639,143522
23,219639,143522
24,219639,143522
25,219639,143522
26,219639,143522
27,219639,143522
28,219639,143522
29,219639,143522
30,219639,143522
31,219639,143522
32,219639,143522
33,219639,143522
34,219639,143522
35,219639,143522
36,219639,143522
37,219639,143522
38,219639,143522
39,219639,143522
40,219639,143522
41,219639,143522
42,219639,143522
43,219639,143522
44,219639,143522
45,219639,143522
46,219639,143522
47,219639,143522
48,219639,143522
49,219639,143522
50,219639,143522
51,219639,143522
52,219639,143522
53,219639,143522
54,219639,143522
55,219639,143522
56,219639,143522
57,219639,143522
58,219639,143522
59,219639,143522
60,219639,143522
61,219639,143522
62,219639,143522
63,219639,143522
64,219639,143522
65,219639,143522
66,219639,143522
67,219639,143522
68,219639,143522
69,219639,143522
70,219639,143522
71,219639,143522
72,219639,143522
73,219639,143522
74,219639,143522
75,219639,143522
76,219639,143522
77,219639,143522
78,219639,143522
79,219639,143522
80,219639,143522
81,219639,143522
82,219639,143522
83,219639,143522
84,219639,143522
85,219639,143522
86,219639,143522
87,219639,143522
88,219639,143522
89,219639,143522
90,219639,143522
91,219639,143522
92,219639,143522
93,219639,143522
94,219639,143522
96,219639,143522
97,219639,143522
98,219639,143522
99,219639,143522
100,219639,143522
101,219639,143522
102,219639,143522
103,219639,143522
104,219639,143522
105,219639,143522
106,219639,143522
107,219639,143522
108,219639,143522
109,219639,143522
110,219639,143522
111,219639,143522
112,219639,143522
113,219639,143522
114,219639,143522
115,219639,143522
116,219639,143522
117,219639,143522
118,219639,143522
119,219639,143522
120,219639,143522
121,219639,143522
122,219639,143522
123,219639,143522
124,219639,143522
125,219639,143522
126,219639,143522
127,219639,143522
128,219639,143522
129,219639,143522
130,219639,143522
131,219639,143522
132,219639,143522
133,219639,143522
134,219639,143522
135,219639,143522
136,219639,143522
137,219639,143522
138,219639,143522
139,219639,143522
140,219639,143522
141,219639,143522
142,219639,143522
143,219639,143522
144,219639,143522
147,219639,143522
148,219639,143522
149,219639,143522
150,219639,143522
151,219639,143522
152,219639,143522
153,219639,143522
154,219639,143522
155,219639,143522
156,219639,143522
157,219639,143522
162,219639,143522
163,219639,143522
164,219639,143522
165,219639,143522
166,219639,143522
167,219639,143522
168,219639,143522
169,219639,143522
170,219639,143522
171,219639,143522
172,219639,143522
173,219639,143522
174,219639,143522
175,219639,143522
176,219639,143522
177,219639,143522
178,219639,143522
179,219639,143522
180,219639,143522
181,219639,143522
182,219639,143522
183,219639,143522
184,219639,143522
185,219639,143522
186,219639,143522
187,219639,143522
188,219639,143522
189,219639,143522
190,219639,143522
191,219639,143522
192,219639,143522
193,219639,143522
194,219639,143522
195,219639,143522
196,219639,143522
197,219639,143522
198,219639,143522
199,219639,143522
200,219639,143522
201,219639,143522
202,219639,143522
203,219639,143522
204,219639,143522
205,219639,143522
206,219639,143522
207,219639,143522
208,219639,143522
209,219639,143522
210,219639,143522
211,219639,143522
212,219639,143522
213,219639,143522
214,219639,143522
215,219639,143522
216,219639,143522
217,219639,143522
218,219639,143522
219,219639,143522
220,219639,143522
221,219639,143522
222,219639,143522
223,219639,143522
224,219639,143522
225,219639,143522
226,219639,143522
227,219639,143522
228,219639,143522
229,219639,143522
230,219639,143522
231,219639,143522
232,219639,143522
233,219639,143522
234,219639,143522
235,219639,143522
236,219639,143522
237,219639,143522
238,219639,143522
239,219639,143522
240,219639,143522
241,219639,143522
242,219639,143522
243,219639,143522
244,219639,143522
245,219639,143522
246,219639,143522
247,219639,143522
248,219639,143522
249,219639,143522
250,219639,143522
251,219639,143522
252,219639,143522
253,219639,143522
254,219639,143522
255,219639,143522
256,219639,143522
257,219639,143522
258,219639,143522
259,219639,143522
260,219639,143522
261,219639,143522
262,219639,143522
263,219639,143522
264,219639,143522
265,219639,143522
266,219639,143522
267,219639,143522
268,219639,143522
269,219639,143522
270,219639,143522
271,219639,143522
272,219639,143522
273,219639,143522
274,219639,143522
275,219639,143522
276,219639,143522
277,219639,143522
278,219639,143522
279,219639,143522
280,219639,143522
281,219639,143522
282,219639,143522
283,219639,143522
284,219639,143522
285,219639,143522
286,219639,143522
287,219639,143522
288,219639,143522
289,219639,143522
290,219639,143522
291,219639,143522
292,219639,143522
293,219639,143522
294,219639,143522
295,219639,143522
296,219639,143522
297,219639,143522
298,219639,143522
299,219639,143522
300,219639,143522
301,219639,143522
302,219639,143522
303,219639,143522
304,219639,143522
305,219639,143522
306,219639,143522
307,219639,143522
308,219639,143522
309,219639,143522
310,219639,143522
311,219639,143522
312,219639,143522
313,219639,143522
314,219639,143522
315,219639,143522
316,219639,143522
317,219639,143522
318,219639,143522
319,219639,143522
320,219639,143522
321,219639,143522
322,219639,143522
323,219639,143522
324,219639,143522
325,219639,143522
326,219639,143522
327,219639,143522
328,219639,143522
329,219639,143522
330,219639,143522
331,219639,143522
332,219639,143522
333,219639,143522
334,219639,143522
335,219639,143522
336,219639,143522
337,219639,143522
338,219639,143522
339,219639,143522
340,219639,143522
341,219639,143522
342,219639,143522
343,219639,143522
344,219639,143522
345,219639,143522
346,219639,143522
347,219639,143522
348,219639,143522
349,219639,143522
350,219639,143522
351,219639,143522
352,219639,143522
353,219639,143522
354,219639,143522
355,219639,143522
356,219639,143522
357,219639,143522
358,219639,143522
359,219639,143522
360,219639,143522
361,219639,143522
362,219639,143522
363,219639,143522
364,219639,143522
365,219639,143522
366,219639,143522
367,219639,143522
368,219639,143522
369,219639,143522
370,219639,143522
371,219639,143522
372,219639,143522
373,219639,143522
374,219639,143522
375,219639,143522
376,219639,143522
377,219639,143522
378,219639,143522
379,219639,143522
380,219639,143522
